程や 0.0010
程や计 0
[C03, S2, A22], や计3 や:0.0046
[C03, S2, A23], や计3 や:0.0046
[C03, S2, A24], や计1 や:0.0015
[C03, S2, A25], や计0 や:0.0000
[C05, S1, A02], や计0 や:0.0000
[C05, S1, A03], や计0 や:0.0000
[C05, S1, A04], や计0 や:0.0000
[C05, S1, A05], や计0 や:0.0000
[C05, S1, A06], や计0 や:0.0000
[C05, S1, A07], や计1 や:0.0015
[C05, S1, A08], や计0 や:0.0000
[C05, S1, A09], や计1 や:0.0015
[C05, S1, A10], や计0 や:0.0000
[C05, S1, A11], や计0 や:0.0000
[C05, S1, A12], や计0 や:0.0000
[C05, S1, A13], や计1 や:0.0015
[C05, S1, A14], や计3 や:0.0046
[C05, S1, A15], や计0 や:0.0000
[C05, S1, A16], や计1 や:0.0015
[C05, S1, A17], や计4 や:0.0061
[C05, S1, A18], や计4 や:0.0061
[C05, S1, A19], や计1 や:0.0015
[C05, S1, A20], や计1 や:0.0015
[C05, S1, A21], や计6 や:0.0092
[C05, S1, A22], や计1 や:0.0015
[C05, S1, A23], や计1 や:0.0015
[C05, S1, A24], や计0 や:0.0000
[C05, S1, A25], や计0 や:0.0000
[C05, S2, A02], や计1 や:0.0015
[C05, S2, A03], や计0 や:0.0000
[C05, S2, A04], や计0 や:0.0000
[C05, S2, A05], や计0 や:0.0000
[C05, S2, A06], や计0 や:0.0000
[C05, S2, A07], や计0 や:0.0000
[C05, S2, A08], や计0 や:0.0000
[C05, S2, A09], や计0 や:0.0000
[C05, S2, A10], や计0 や:0.0000
[C05, S2, A11], や计0 や:0.0000
[C05, S2, A12], や计0 や:0.0000
[C05, S2, A13], や计0 や:0.0000
[C05, S2, A14], や计1 や:0.0015
[C05, S2, A15], や计0 や:0.0000
[C05, S2, A16], や计0 や:0.0000
[C05, S2, A17], や计2 や:0.0031
[C05, S2, A18], や计2 や:0.0031
[C05, S2, A19], や计2 や:0.0031
[C05, S2, A20], や计0 や:0.0000
[C05, S2, A21], や计3 や:0.0046
[C05, S2, A22], や计5 や:0.0076
[C05, S2, A23], や计1 や:0.0015
[C05, S2, A24], や计0 や:0.0000
[C05, S2, A25], や计0 や:0.0000
[C07, S1, A02], や计0 や:0.0000
[C07, S1, A03], や计0 や:0.0000
[C07, S1, A04], や计1 や:0.0015
[C07, S1, A05], や计0 や:0.0000
[C07, S1, A06], や计0 や:0.0000
[C07, S1, A07], や计0 や:0.0000
[C07, S1, A08], や计0 や:0.0000
[C07, S1, A09], や计0 や:0.0000
[C07, S1, A10], や计0 や:0.0000
[C07, S1, A11], や计0 や:0.0000
[C07, S1, A12], や计1 や:0.0015
[C07, S1, A13], や计2 や:0.0031
[C07, S1, A14], や计0 や:0.0000
[C07, S1, A15], や计4 や:0.0061
[C07, S1, A16], や计3 や:0.0046
[C07, S1, A17], や计4 や:0.0061
[C07, S1, A18], や计4 や:0.0061
[C07, S1, A19], や计2 や:0.0031
[C07, S1, A20], や计4 や:0.0061
[C07, S1, A21], や计3 や:0.0046
[C07, S1, A22], や计3 や:0.0046
[C07, S1, A23], や计2 や:0.0031
[C07, S1, A24], や计2 や:0.0031
[C07, S1, A25], や计0 や:0.0000
[C07, S2, A02], や计1 や:0.0015
[C07, S2, A03], や计0 や:0.0000
[C07, S2, A04], や计0 や:0.0000
[C07, S2, A05], や计0 や:0.0000
[C07, S2, A06], や计0 や:0.0000
[C07, S2, A07], や计0 や:0.0000
[C07, S2, A08], や计0 や:0.0000
[C07, S2, A09], や计0 や:0.0000
[C07, S2, A10], や计1 や:0.0015
[C07, S2, A11], や计0 や:0.0000
[C07, S2, A12], や计0 や:0.0000
[C07, S2, A13], や计0 や:0.0000
[C07, S2, A14], や计2 や:0.0031
[C07, S2, A15], や计0 や:0.0000
[C07, S2, A16], や计3 や:0.0046
[C07, S2, A17], や计1 や:0.0015
[C07, S2, A18], や计3 や:0.0046
[C07, S2, A19], や计10 や:0.0153
[C07, S2, A20], や计2 や:0.0031
[C07, S2, A21], や计1 や:0.0015
[C07, S2, A22], や计2 や:0.0031
[C07, S2, A23], や计3 や:0.0046
[C07, S2, A24], や计1 や:0.0015
[C07, S2, A25], や计1 や:0.0015
[C11, S1, A02], や计0 や:0.0000
[C11, S1, A03], や计0 や:0.0000
[C11, S1, A04], や计0 や:0.0000
[C11, S1, A05], や计0 や:0.0000
[C11, S1, A06], や计0 や:0.0000
[C11, S1, A07], や计0 や:0.0000
[C11, S1, A08], や计0 や:0.0000
[C11, S1, A09], や计0 や:0.0000
[C11, S1, A10], や计0 や:0.0000
[C11, S1, A11], や计0 や:0.0000
[C11, S1, A12], や计0 や:0.0000
[C11, S1, A13], や计1 や:0.0015
[C11, S1, A14], や计0 や:0.0000
[C11, S1, A15], や计0 や:0.0000
[C11, S1, A16], や计0 や:0.0000
[C11, S1, A17], や计2 や:0.0031
[C11, S1, A18], や计0 や:0.0000
[C11, S1, A19], や计0 や:0.0000
[C11, S1, A20], や计0 や:0.0000
[C11, S1, A21], や计0 や:0.0000
[C11, S1, A22], や计1 や:0.0015
[C11, S1, A23], や计0 や:0.0000
[C11, S1, A24], や计0 や:0.0000
[C11, S1, A25], や计0 や:0.0000
[C11, S2, A02], や计0 や:0.0000
[C11, S2, A03], や计0 や:0.0000
[C11, S2, A04], や计0 や:0.0000
[C11, S2, A05], や计0 や:0.0000
[C11, S2, A06], や计0 や:0.0000
[C11, S2, A07], や计0 や:0.0000
[C11, S2, A08], や计0 や:0.0000
[C11, S2, A09], や计0 や:0.0000
[C11, S2, A10], や计0 や:0.0000
[C11, S2, A11], や计0 や:0.0000
[C11, S2, A12], や计0 や:0.0000
[C11, S2, A13], や计0 や:0.0000
[C11, S2, A14], や计0 や:0.0000
[C11, S2, A15], や计1 や:0.0015
[C11, S2, A16], や计0 や:0.0000
[C11, S2, A17], や计0 や:0.0000
[C11, S2, A18], や计0 や:0.0000
[C11, S2, A19], や计0 や:0.0000
[C11, S2, A20], や计0 や:0.0000
[C11, S2, A21], や计1 や:0.0015
[C11, S2, A22], や计0 や:0.0000
[C11, S2, A23], や计0 や:0.0000
[C11, S2, A24], や计0 や:0.0000
[C11, S2, A25], や计0 や:0.0000
[C12, S1, A02], や计0 や:0.0000
[C12, S1, A03], や计0 や:0.0000
[C12, S1, A04], や计0 や:0.0000
[C12, S1, A05], や计0 や:0.0000
[C12, S1, A06], や计0 や:0.0000
[C12, S1, A07], や计0 や:0.0000
[C12, S1, A08], や计0 や:0.0000
[C12, S1, A09], や计0 や:0.0000
[C12, S1, A10], や计0 や:0.0000
[C12, S1, A11], や计0 や:0.0000
[C12, S1, A12], や计1 や:0.0015
[C12, S1, A13], や计1 や:0.0015
[C12, S1, A14], や计0 や:0.0000
[C12, S1, A15], や计0 や:0.0000
[C12, S1, A16], や计4 や:0.0061
[C12, S1, A17], や计1 や:0.0015
[C12, S1, A18], や计0 や:0.0000
[C12, S1, A19], や计0 や:0.0000
[C12, S1, A20], や计0 や:0.0000
[C12, S1, A21], や计0 や:0.0000
[C12, S1, A22], や计0 や:0.0000
[C12, S1, A23], や计1 や:0.0015
[C12, S1, A24], や计0 や:0.0000
[C12, S1, A25], や计0 や:0.0000
[C12, S2, A02], や计0 や:0.0000
[C12, S2, A03], や计0 や:0.0000
[C12, S2, A04], や计0 や:0.0000
[C12, S2, A05], や计1 や:0.0015
[C12, S2, A06], や计0 や:0.0000
[C12, S2, A07], や计0 や:0.0000
[C12, S2, A08], や计0 や:0.0000
[C12, S2, A09], や计0 や:0.0000
[C12, S2, A10], や计0 や:0.0000
[C12, S2, A11], や计0 や:0.0000
[C12, S2, A12], や计0 や:0.0000
[C12, S2, A13], や计1 や:0.0015
[C12, S2, A14], や计0 や:0.0000
[C12, S2, A15], や计0 や:0.0000
[C12, S2, A16], や计1 や:0.0015
[C12, S2, A17], や计0 や:0.0000
[C12, S2, A18], や计0 や:0.0000
[C12, S2, A19], や计1 や:0.0015
[C12, S2, A20], や计0 や:0.0000
[C12, S2, A21], や计1 や:0.0015
[C12, S2, A22], や计1 や:0.0015
[C12, S2, A23], や计0 や:0.0000
[C12, S2, A24], や计0 や:0.0000
[C12, S2, A25], や计0 や:0.0000
[C22, S1, A02], や计0 や:0.0000
[C22, S1, A03], や计0 や:0.0000
[C22, S1, A04], や计0 や:0.0000
[C22, S1, A05], や计0 や:0.0000
[C22, S1, A06], や计0 や:0.0000
[C22, S1, A07], や计0 や:0.0000
[C22, S1, A08], や计0 や:0.0000
[C22, S1, A09], や计0 や:0.0000
[C22, S1, A10], や计0 や:0.0000
[C22, S1, A11], や计0 や:0.0000
[C22, S1, A12], や计0 や:0.0000
[C22, S1, A13], や计0 や:0.0000
[C22, S1, A14], や计0 や:0.0000
[C22, S1, A15], や计0 や:0.0000
[C22, S1, A16], や计0 や:0.0000
[C22, S1, A17], や计0 や:0.0000
[C22, S1, A18], や计0 や:0.0000
[C22, S1, A19], や计2 や:0.0031
[C22, S1, A20], や计1 や:0.0015
[C22, S1, A21], や计1 や:0.0015
[C22, S1, A22], や计0 や:0.0000
[C22, S1, A23], や计0 や:0.0000
[C22, S1, A24], や计0 や:0.0000
[C22, S1, A25], や计0 や:0.0000
[C22, S2, A02], や计0 や:0.0000
[C22, S2, A03], や计0 や:0.0000
[C22, S2, A04], や计0 や:0.0000
[C22, S2, A05], や计0 や:0.0000
[C22, S2, A06], や计0 や:0.0000
[C22, S2, A07], や计0 や:0.0000
[C22, S2, A08], や计0 や:0.0000
[C22, S2, A09], や计0 や:0.0000
[C22, S2, A10], や计0 や:0.0000
[C22, S2, A11], や计0 や:0.0000
[C22, S2, A12], や计0 や:0.0000
[C22, S2, A13], や计0 や:0.0000
[C22, S2, A14], や计1 や:0.0015
[C22, S2, A15], や计0 や:0.0000
[C22, S2, A16], や计0 や:0.0000
[C22, S2, A17], や计0 や:0.0000
[C22, S2, A18], や计1 や:0.0015
[C22, S2, A19], や计0 や:0.0000
[C22, S2, A20], や计0 や:0.0000
[C22, S2, A21], や计1 や:0.0015
[C22, S2, A22], や计1 や:0.0015
[C22, S2, A23], や计0 や:0.0000
[C22, S2, A24], や计0 や:0.0000
[C22, S2, A25], や计0 や:0.0000
[C31, S1, A02], や计2 や:0.0031
[C31, S1, A03], や计1 や:0.0015
[C31, S1, A04], や计0 や:0.0000
[C31, S1, A05], や计0 や:0.0000
[C31, S1, A06], や计0 や:0.0000
[C31, S1, A07], や计2 や:0.0031
[C31, S1, A08], や计0 や:0.0000
[C31, S1, A09], や计0 や:0.0000
[C31, S1, A10], や计0 や:0.0000
[C31, S1, A11], や计0 や:0.0000
[C31, S1, A12], や计0 や:0.0000
[C31, S1, A13], や计2 や:0.0031
[C31, S1, A14], や计4 や:0.0061
[C31, S1, A15], や计4 や:0.0061
[C31, S1, A16], や计3 や:0.0046
[C31, S1, A17], や计6 や:0.0092
[C31, S1, A18], や计7 や:0.0107
[C31, S1, A19], や计9 や:0.0137
[C31, S1, A20], や计2 や:0.0031
[C31, S1, A21], や计4 や:0.0061
[C31, S1, A22], や计3 や:0.0046
[C31, S1, A23], や计2 や:0.0031
[C31, S1, A24], や计0 や:0.0000
[C31, S1, A25], や计0 や:0.0000
[C31, S2, A02], や计2 や:0.0031
[C31, S2, A03], や计0 や:0.0000
[C31, S2, A04], や计0 や:0.0000
[C31, S2, A05], や计0 や:0.0000
[C31, S2, A06], や计0 や:0.0000
[C31, S2, A07], や计0 や:0.0000
[C31, S2, A08], や计0 や:0.0000
[C31, S2, A09], や计0 や:0.0000
[C31, S2, A10], や计0 や:0.0000
[C31, S2, A11], や计1 や:0.0015
[C31, S2, A12], や计1 や:0.0015
[C31, S2, A13], や计1 や:0.0015
[C31, S2, A14], や计3 や:0.0046
[C31, S2, A15], や计0 や:0.0000
[C31, S2, A16], や计0 や:0.0000
[C31, S2, A17], や计2 や:0.0031
[C31, S2, A18], や计5 や:0.0076
[C31, S2, A19], や计4 や:0.0061
[C31, S2, A20], や计5 や:0.0076
[C31, S2, A21], や计5 や:0.0076
[C31, S2, A22], や计7 や:0.0107
[C31, S2, A23], や计2 や:0.0031
[C31, S2, A24], や计2 や:0.0031
[C31, S2, A25], や计1 や:0.0015
[C32, S1, A02], や计0 や:0.0000
[C32, S1, A03], や计0 や:0.0000
[C32, S1, A04], や计0 や:0.0000
[C32, S1, A05], や计0 や:0.0000
[C32, S1, A06], や计0 や:0.0000
[C32, S1, A07], や计1 や:0.0015
[C32, S1, A08], や计0 や:0.0000
[C32, S1, A09], や计1 や:0.0015
[C32, S1, A10], や计1 や:0.0015
[C32, S1, A11], や计0 や:0.0000
[C32, S1, A12], や计1 や:0.0015
[C32, S1, A13], や计0 や:0.0000
[C32, S1, A14], や计4 や:0.0061
[C32, S1, A15], や计7 や:0.0107
[C32, S1, A16], や计2 や:0.0031
[C32, S1, A17], や计1 や:0.0015
[C32, S1, A18], や计1 や:0.0015
[C32, S1, A19], や计2 や:0.0031
[C32, S1, A20], や计0 や:0.0000
[C32, S1, A21], や计1 や:0.0015
[C32, S1, A22], や计2 や:0.0031
[C32, S1, A23], や计1 や:0.0015
[C32, S1, A24], や计2 や:0.0031
[C32, S1, A25], や计0 や:0.0000
[C32, S2, A02], や计1 や:0.0015
[C32, S2, A03], や计0 や:0.0000
[C32, S2, A04], や计0 や:0.0000
[C32, S2, A05], や计0 や:0.0000
[C32, S2, A06], や计1 や:0.0015
[C32, S2, A07], や计0 や:0.0000
[C32, S2, A08], や计2 や:0.0031
[C32, S2, A09], や计0 や:0.0000
[C32, S2, A10], や计0 や:0.0000
[C32, S2, A11], や计1 や:0.0015
[C32, S2, A12], や计0 や:0.0000
[C32, S2, A13], や计0 や:0.0000
[C32, S2, A14], や计1 や:0.0015
[C32, S2, A15], や计1 や:0.0015
[C32, S2, A16], や计1 や:0.0015
[C32, S2, A17], や计0 や:0.0000
[C32, S2, A18], や计0 や:0.0000
[C32, S2, A19], や计4 や:0.0061
[C32, S2, A20], や计3 や:0.0046
[C32, S2, A21], や计4 や:0.0061
[C32, S2, A22], や计0 や:0.0000
[C32, S2, A23], や计5 や:0.0076
[C32, S2, A24], や计1 や:0.0015
[C32, S2, A25], や计0 や:0.0000
[C33, S1, A02], や计0 や:0.0000
[C33, S1, A03], や计0 や:0.0000
[C33, S1, A04], や计0 や:0.0000
[C33, S1, A05], や计0 や:0.0000
[C33, S1, A06], や计0 や:0.0000
[C33, S1, A07], や计0 や:0.0000
[C33, S1, A08], や计0 や:0.0000
[C33, S1, A09], や计0 や:0.0000
[C33, S1, A10], や计1 や:0.0015
[C33, S1, A11], や计0 や:0.0000
[C33, S1, A12], や计0 や:0.0000
[C33, S1, A13], や计0 や:0.0000
[C33, S1, A14], や计1 や:0.0015
[C33, S1, A15], や计2 や:0.0031
[C33, S1, A16], や计1 や:0.0015
[C33, S1, A17], や计3 や:0.0046
[C33, S1, A18], や计0 や:0.0000
[C33, S1, A19], や计0 や:0.0000
[C33, S1, A20], や计1 や:0.0015
[C33, S1, A21], や计1 や:0.0015
[C33, S1, A22], や计0 や:0.0000
[C33, S1, A23], や计0 や:0.0000
[C33, S1, A24], や计0 や:0.0000
[C33, S1, A25], や计0 や:0.0000
[C33, S2, A02], や计0 や:0.0000
[C33, S2, A03], や计0 や:0.0000
[C33, S2, A04], や计0 や:0.0000
[C33, S2, A05], や计0 や:0.0000
[C33, S2, A06], や计0 や:0.0000
[C33, S2, A07], や计0 や:0.0000
[C33, S2, A08], や计0 や:0.0000
[C33, S2, A09], や计0 や:0.0000
[C33, S2, A10], や计0 や:0.0000
[C33, S2, A11], や计0 や:0.0000
[C33, S2, A12], や计0 や:0.0000
[C33, S2, A13], や计0 や:0.0000
[C33, S2, A14], や计0 や:0.0000
[C33, S2, A15], や计1 や:0.0015
[C33, S2, A16], や计1 や:0.0015
[C33, S2, A17], や计0 や:0.0000
[C33, S2, A18], や计0 や:0.0000
[C33, S2, A19], や计1 や:0.0015
[C33, S2, A20], や计0 や:0.0000
[C33, S2, A21], や计1 や:0.0015
[C33, S2, A22], や计1 や:0.0015
[C33, S2, A23], や计0 や:0.0000
[C33, S2, A24], や计0 や:0.0000
[C33, S2, A25], や计0 や:0.0000
[C34, S1, A02], や计0 や:0.0000
[C34, S1, A03], や计0 や:0.0000
[C34, S1, A04], や计0 や:0.0000
[C34, S1, A05], や计0 や:0.0000
[C34, S1, A06], や计0 や:0.0000
[C34, S1, A07], や计0 や:0.0000
[C34, S1, A08], や计0 や:0.0000
[C34, S1, A09], や计0 や:0.0000
[C34, S1, A10], や计0 や:0.0000
[C34, S1, A11], や计0 や:0.0000
[C34, S1, A12], や计0 や:0.0000
[C34, S1, A13], や计0 や:0.0000
[C34, S1, A14], や计1 や:0.0015
[C34, S1, A15], や计0 や:0.0000
[C34, S1, A16], や计1 や:0.0015
[C34, S1, A17], や计2 や:0.0031
[C34, S1, A18], や计0 や:0.0000
[C34, S1, A19], や计0 や:0.0000
[C34, S1, A20], や计2 や:0.0031
[C34, S1, A21], や计2 や:0.0031
[C34, S1, A22], や计2 や:0.0031
[C34, S1, A23], や计0 や:0.0000
[C34, S1, A24], や计0 や:0.0000
[C34, S1, A25], や计0 や:0.0000
[C34, S2, A02], や计0 や:0.0000
[C34, S2, A03], や计0 や:0.0000
[C34, S2, A04], や计0 や:0.0000
[C34, S2, A05], や计0 や:0.0000
[C34, S2, A06], や计0 や:0.0000
[C34, S2, A07], や计0 や:0.0000
[C34, S2, A08], や计0 や:0.0000
[C34, S2, A09], や计0 や:0.0000
[C34, S2, A10], や计0 や:0.0000
[C34, S2, A11], や计0 や:0.0000
[C34, S2, A12], や计0 や:0.0000
[C34, S2, A13], や计0 や:0.0000
[C34, S2, A14], や计0 や:0.0000
[C34, S2, A15], や计0 や:0.0000
[C34, S2, A16], や计0 や:0.0000
[C34, S2, A17], や计0 や:0.0000
[C34, S2, A18], や计0 や:0.0000
[C34, S2, A19], や计0 や:0.0000
[C34, S2, A20], や计0 や:0.0000
[C34, S2, A21], や计1 や:0.0015
[C34, S2, A22], や计0 や:0.0000
[C34, S2, A23], や计0 や:0.0000
[C34, S2, A24], や计1 や:0.0015
[C34, S2, A25], や计0 や:0.0000
[C35, S1, A02], や计0 や:0.0000
[C35, S1, A03], や计0 や:0.0000
[C35, S1, A04], や计0 や:0.0000
[C35, S1, A05], や计0 や:0.0000
[C35, S1, A06], や计0 や:0.0000
[C35, S1, A07], や计0 や:0.0000
[C35, S1, A08], や计0 や:0.0000
[C35, S1, A09], や计0 や:0.0000
[C35, S1, A10], や计0 や:0.0000
[C35, S1, A11], や计0 や:0.0000
[C35, S1, A12], や计1 や:0.0015
[C35, S1, A13], や计0 や:0.0000
[C35, S1, A14], や计1 や:0.0015
[C35, S1, A15], や计1 や:0.0015
[C35, S1, A16], や计0 や:0.0000
[C35, S1, A17], や计1 や:0.0015
[C35, S1, A18], や计0 や:0.0000
[C35, S1, A19], や计0 や:0.0000
[C35, S1, A20], や计1 や:0.0015
[C35, S1, A21], や计1 や:0.0015
[C35, S1, A22], や计3 や:0.0046
[C35, S1, A23], や计1 や:0.0015
[C35, S1, A24], や计0 や:0.0000
[C35, S1, A25], や计0 や:0.0000
[C35, S2, A02], や计0 や:0.0000
[C35, S2, A03], や计0 や:0.0000
[C35, S2, A04], や计0 や:0.0000
[C35, S2, A05], や计0 や:0.0000
[C35, S2, A06], や计0 や:0.0000
[C35, S2, A07], や计0 や:0.0000
[C35, S2, A08], や计0 や:0.0000
[C35, S2, A09], や计0 や:0.0000
[C35, S2, A10], や计0 や:0.0000
[C35, S2, A11], や计0 や:0.0000
[C35, S2, A12], や计0 や:0.0000
[C35, S2, A13], や计0 や:0.0000
[C35, S2, A14], や计0 や:0.0000
[C35, S2, A15], や计0 や:0.0000
[C35, S2, A16], や计0 や:0.0000
[C35, S2, A17], や计0 や:0.0000
[C35, S2, A18], や计0 や:0.0000
[C35, S2, A19], や计2 や:0.0031
[C35, S2, A20], や计1 や:0.0015
[C35, S2, A21], や计1 や:0.0015
[C35, S2, A22], や计1 や:0.0015
[C35, S2, A23], や计1 や:0.0015
[C35, S2, A24], や计0 や:0.0000
[C35, S2, A25], や计0 や:0.0000
[C37, S1, A02], や计0 や:0.0000
[C37, S1, A03], や计0 や:0.0000
[C37, S1, A04], や计0 や:0.0000
[C37, S1, A05], や计0 や:0.0000
[C37, S1, A06], や计0 や:0.0000
[C37, S1, A07], や计0 や:0.0000
[C37, S1, A08], や计0 や:0.0000
[C37, S1, A09], や计0 や:0.0000
[C37, S1, A10], や计0 や:0.0000
[C37, S1, A11], や计0 や:0.0000
[C37, S1, A12], や计0 や:0.0000
[C37, S1, A13], や计0 や:0.0000
[C37, S1, A14], や计1 や:0.0015
[C37, S1, A15], や计0 や:0.0000
[C37, S1, A16], や计2 や:0.0031
[C37, S1, A17], や计3 や:0.0046
[C37, S1, A18], や计1 や:0.0015
[C37, S1, A19], や计1 や:0.0015
[C37, S1, A20], や计2 や:0.0031
[C37, S1, A21], や计3 や:0.0046
[C37, S1, A22], や计3 や:0.0046
[C37, S1, A23], や计0 や:0.0000
[C37, S1, A24], や计1 や:0.0015
[C37, S1, A25], や计0 や:0.0000
[C37, S2, A02], や计2 や:0.0031
[C37, S2, A03], や计0 や:0.0000
[C37, S2, A04], や计0 や:0.0000
[C37, S2, A05], や计0 や:0.0000
[C37, S2, A06], や计0 や:0.0000
[C37, S2, A07], や计0 や:0.0000
[C37, S2, A08], や计0 や:0.0000
[C37, S2, A09], や计0 や:0.0000
[C37, S2, A10], や计0 や:0.0000
[C37, S2, A11], や计0 や:0.0000
[C37, S2, A12], や计1 や:0.0015
[C37, S2, A13], や计0 や:0.0000
[C37, S2, A14], や计0 や:0.0000
[C37, S2, A15], や计2 や:0.0031
[C37, S2, A16], や计1 や:0.0015
[C37, S2, A17], や计0 や:0.0000
[C37, S2, A18], や计0 や:0.0000
[C37, S2, A19], や计1 や:0.0015
[C37, S2, A20], や计3 や:0.0046
[C37, S2, A21], や计2 や:0.0031
[C37, S2, A22], や计3 や:0.0046
[C37, S2, A23], や计0 や:0.0000
[C37, S2, A24], や计0 や:0.0000
[C37, S2, A25], や计0 や:0.0000
[C38, S1, A02], や计0 や:0.0000
[C38, S1, A03], や计0 や:0.0000
[C38, S1, A04], や计0 や:0.0000
[C38, S1, A05], や计0 や:0.0000
[C38, S1, A06], や计0 や:0.0000
[C38, S1, A07], や计0 や:0.0000
[C38, S1, A08], や计0 や:0.0000
[C38, S1, A09], や计0 や:0.0000
[C38, S1, A10], や计1 や:0.0015
[C38, S1, A11], や计0 や:0.0000
[C38, S1, A12], や计0 や:0.0000
[C38, S1, A13], や计0 や:0.0000
[C38, S1, A14], や计0 や:0.0000
[C38, S1, A15], や计0 や:0.0000
[C38, S1, A16], や计1 や:0.0015
[C38, S1, A17], や计1 や:0.0015
[C38, S1, A18], や计1 や:0.0015
[C38, S1, A19], や计3 や:0.0046
[C38, S1, A20], や计1 や:0.0015
[C38, S1, A21], や计2 や:0.0031
[C38, S1, A22], や计0 や:0.0000
[C38, S1, A23], や计1 や:0.0015
[C38, S1, A24], や计0 や:0.0000
[C38, S1, A25], や计0 や:0.0000
[C38, S2, A02], や计0 や:0.0000
[C38, S2, A03], や计0 や:0.0000
[C38, S2, A04], や计0 や:0.0000
[C38, S2, A05], や计0 や:0.0000
[C38, S2, A06], や计0 や:0.0000
[C38, S2, A07], や计0 や:0.0000
[C38, S2, A08], や计0 や:0.0000
[C38, S2, A09], や计1 や:0.0015
[C38, S2, A10], や计0 や:0.0000
[C38, S2, A11], や计0 や:0.0000
[C38, S2, A12], や计0 や:0.0000
[C38, S2, A13], や计0 や:0.0000
[C38, S2, A14], や计0 や:0.0000
[C38, S2, A15], や计2 や:0.0031
[C38, S2, A16], や计0 や:0.0000
[C38, S2, A17], や计1 や:0.0015
[C38, S2, A18], や计4 や:0.0061
[C38, S2, A19], や计0 や:0.0000
[C38, S2, A20], や计2 や:0.0031
[C38, S2, A21], や计1 や:0.0015
[C38, S2, A22], や计1 や:0.0015
[C38, S2, A23], や计2 や:0.0031
[C38, S2, A24], や计0 や:0.0000
[C38, S2, A25], や计0 や:0.0000
[C39, S1, A02], や计1 や:0.0015
[C39, S1, A03], や计0 や:0.0000
[C39, S1, A04], や计0 や:0.0000
[C39, S1, A05], や计0 や:0.0000
[C39, S1, A06], や计0 や:0.0000
[C39, S1, A07], や计0 や:0.0000
[C39, S1, A08], や计0 や:0.0000
[C39, S1, A09], や计0 や:0.0000
[C39, S1, A10], や计0 や:0.0000
[C39, S1, A11], や计0 や:0.0000
[C39, S1, A12], や计1 や:0.0015
[C39, S1, A13], や计1 や:0.0015
[C39, S1, A14], や计0 や:0.0000
[C39, S1, A15], や计0 や:0.0000
[C39, S1, A16], や计1 や:0.0015
[C39, S1, A17], や计0 や:0.0000
[C39, S1, A18], や计1 や:0.0015
[C39, S1, A19], や计0 や:0.0000
[C39, S1, A20], や计3 や:0.0046
[C39, S1, A21], や计5 や:0.0076
[C39, S1, A22], や计0 や:0.0000
[C39, S1, A23], や计0 や:0.0000
[C39, S1, A24], や计0 や:0.0000
[C39, S1, A25], や计0 や:0.0000
[C39, S2, A02], や计0 や:0.0000
[C39, S2, A03], や计0 や:0.0000
[C39, S2, A04], や计0 や:0.0000
[C39, S2, A05], や计0 や:0.0000
[C39, S2, A06], や计0 や:0.0000
[C39, S2, A07], や计0 や:0.0000
[C39, S2, A08], や计0 や:0.0000
[C39, S2, A09], や计1 や:0.0015
[C39, S2, A10], や计0 や:0.0000
[C39, S2, A11], や计0 や:0.0000
[C39, S2, A12], や计0 や:0.0000
[C39, S2, A13], や计0 や:0.0000
[C39, S2, A14], や计0 や:0.0000
[C39, S2, A15], や计0 や:0.0000
[C39, S2, A16], や计0 や:0.0000
[C39, S2, A17], や计0 や:0.0000
[C39, S2, A18], や计2 や:0.0031
[C39, S2, A19], や计0 や:0.0000
[C39, S2, A20], や计2 や:0.0031
[C39, S2, A21], や计2 や:0.0031
[C39, S2, A22], や计4 や:0.0061
[C39, S2, A23], や计1 や:0.0015
[C39, S2, A24], や计0 や:0.0000
[C39, S2, A25], や计0 や:0.0000
[C40, S1, A02], や计0 や:0.0000
[C40, S1, A03], や计0 や:0.0000
[C40, S1, A04], や计0 や:0.0000
[C40, S1, A05], や计0 や:0.0000
[C40, S1, A06], や计0 や:0.0000
[C40, S1, A07], や计0 や:0.0000
[C40, S1, A08], や计0 や:0.0000
[C40, S1, A09], や计0 や:0.0000
[C40, S1, A10], や计0 や:0.0000
[C40, S1, A11], や计1 や:0.0015
[C40, S1, A12], や计0 や:0.0000
[C40, S1, A13], や计1 や:0.0015
[C40, S1, A14], や计1 や:0.0015
[C40, S1, A15], や计4 や:0.0061
[C40, S1, A16], や计1 や:0.0015
[C40, S1, A17], や计1 や:0.0015
[C40, S1, A18], や计1 や:0.0015
[C40, S1, A19], や计2 や:0.0031
[C40, S1, A20], や计0 や:0.0000
[C40, S1, A21], や计3 や:0.0046
[C40, S1, A22], や计2 や:0.0031
[C40, S1, A23], や计1 や:0.0015
[C40, S1, A24], や计0 や:0.0000
[C40, S1, A25], や计0 や:0.0000
[C40, S2, A02], や计0 や:0.0000
[C40, S2, A03], や计0 や:0.0000
[C40, S2, A04], や计0 や:0.0000
[C40, S2, A05], や计0 や:0.0000
[C40, S2, A06], や计0 や:0.0000
[C40, S2, A07], や计0 や:0.0000
[C40, S2, A08], や计0 や:0.0000
[C40, S2, A09], や计0 や:0.0000
[C40, S2, A10], や计0 や:0.0000
[C40, S2, A11], や计0 や:0.0000
[C40, S2, A12], や计0 や:0.0000
[C40, S2, A13], や计0 や:0.0000
[C40, S2, A14], や计0 や:0.0000
[C40, S2, A15], や计0 や:0.0000
